Lap*,Driver,Message
VL,From Sergio Perez,At the end I had no front-left tyre. Couldn’t defend from Vettel.
VL,From Esteban Ocon,"He cannot do that. He moved at the last moment, what is this? Dangerous. This is not fair, guys. I mean he cannot do that. It’s not fair racing at all."
VL,To Esteban Ocon,Copy that. You’ve done a good job.
,,
VL,To Kimi Raikkonen,Sorry for that Kimi. Obviously we knew you were pushing hard.
,,
VL,To Nico Hulkenberg,"OK Nico good effort. P8, not a bad result. Well done Nico."
,,
VL,To Lance Stroll,Great job. P9. Seventeenth to ninth. Good job.
,,
VL,From Lance Stroll,Yes. Finally a point! Better late than never. Thank you guys. That was a good race.
VL,To Romain Grosjean,Chequered flag. P10. Thanks for staying with it. Good job.
,,
VL,From Romain Grosjean,"Good job guys. Yep, that’s the whole race on one set of tyres. Really struggled at some places. Got better to the end. Great strategy, good job. Surprised the car is still going straight though."
VL,To Romain Grosjean,Understood. The wind was moving around a lot but the information was not matching what you felt?
,,
VL,From Romain Grosjean,No.
VL,To Jolyon Palmer,"That was the chequered flag, Jo, you’re P11. Good race, good pace."
,,
VL,From Jolyon Palmer,[Censored by FOM] sake.
VL,To Kevin Magnussen,Well done guys. Congrats on the points.
,,
VL,From Kevin Magnussen,Good job Kevin. It’s Guenther. Good job. You helped us get this point. Thank you.
VL,To Marcus Ericsson,OK Marucs that’s it. P13. Well done. I think that’s the best we could hope for straegy-wise and pace-wise. The lap time was not bad. Well done.
,,
VL,To Stoffel Vandoorne,"We finished 14th. Finishing order Hamilton, Bottas, Ricciardo, Vettel, Perez, Ocon, Raikkonen, Hulkenberg, Stroll and Grosjean."
,,
VL,From Stoffel Vandoorne,Yeah difficult race with fuel saving and then what happened at the restart with Magnussen. Completely put me off so I lost a lot of position and pace there.
