Lap*,Driver,Message
34,To Valtteri Bottas,"So pushing two out of three. Ricciardo car ahead, he has not stopped yet, 20-lap-old soft tyres."
,,
35,To Valtteri Bottas,Vettel has stopped and he is six seconds ahead.
,,
35,To Sebastian Vettel,We need to look after these tyres until the end. Hamilton will go long and then come back at the end.
,,
35,From Lewis Hamilton,Tyres have definitely taken a step.
35,To Lewis Hamilton,Roger.
,,
36,To Kimi Raikkonen,So Kimi we can’t hold Seb up but we do need to stay out as long as possible.
,,
36,From Kimi Raikkonen,Why do we need to stay out? Cause the tyres are…
36,To Kimi Raikkonen,We need to match Ricciardo behind.
,,
36,From Kimi Raikkonen,But is he catching me behind?
36,To Kimi Raikkonen,He wasn’t before we swapped.
,,
37,From Fernando Alonso,"[Censored by FOM] he was, what, 300 metres behind us on the straight?"
37,To Fernando Alonso,"Fernando we are considering plan B, how are the tyres?"
,,
37,From Fernando Alonso,"Do whatever you want, man."
37,From Kimi Raikkonen,Is there nothing that I can do with the issue? And I am struggling with the tyres so stop me sooner than just waiting what the others are doing otherwise they will catch me.
37,To Kimi Raikkonen,"Understood Kimi, I’m watching him. And for the issue I’m afraid not. But I’m on the tyres."
,,
37,To Fernando Alonso,"And box this lap, box now, stay right of line, limiter. Launch map. Ericsson at the start/finish line now. And 100% pace."
,,
38,To Lewis Hamilton,"So Raikkonen on 24-lap-old super-softs and that’s a 36.9, he’s just pitted."
,,
38,From Kimi Raikkonen,I cannot get the gear in.
38,To Kimi Raikkonen,"Understood, Kimi. And SOC [state of charge] five, Kimi."
,,
38,To Pascal Wehrlein,"We are racing a group ahead of three cars, all on softs, similar age."
,,
39,To Daniel Ricciardo,OK Daniel so Raikkonen has just pitted he’s now on the soft tyres. We’re going to go a little bit longer to get a bigger advantage.
,,
39,From Daniel Ricciardo,"Understood. The rear’s pretty stable for now, just got to watch the front. The rear’s still the bigger lap time lost.#"
39,To Daniel Ricciardo,"OK, understood."
,,
39,From Lewis Hamilton,This tyre feels good but I’m thinking a Safety Car or something?
39,To Lewis Hamilton,"Yeah copy that Lewis, we’re thinking something similar."
,,
39,To Valtteri Bottas,So it’s important to close the gap to Vettel. Lewis has a five-second penalty but is still yet to stop.
,,
40,From Lewis Hamilton,What’s the gap behind?
40,To Lewis Hamilton,Gap behind 11.5 seconds to Vettel. He’s 34.3 last lap.
,,
40,To Daniel Ricciardo,"Box Daniel, box this lap."
,,
40,To Esteban Ocon,"You’re in P12, you need to get past two cars for a point."
,,
40,To Daniel Ricciardo,OK you’ll be close to Massa at pit exit. Diff six. Try the brakes before turn one. You’ll be close to Massa at turn one. Think about the overtake.
,,
41,To Lewis Hamilton,OK Lewis so we have a five-second penalty for driving slow on the pit entry in the last stop. We’re going to serve it at the pit stop. We’re going to offset ourselves as much as we can. We can take the same tyre and see what we can do. We will need to overtake Valtteri on-track.
,,
41,From Lewis Hamilton,Sorry guys.
41,To Lewis Hamilton,"Don’t worry Lewis, keep your head down mate, just get on with it."
,,
41,To Lewis Hamilton,"Box box, we’ll be serving this penalty, just remember keep the brake pressure on."
,,
42,To Sebastian Vettel,Hamilton boxed this lap.
,,
42,To Lewis Hamilton,You have 16 laps remaining.
,,
42,From Lewis Hamilton,Why did we go for this tyre?
42,To Lewis Hamilton,"It’s all based on data, Lewis, we think this is the better tyre. Go strat mode three."
,,
43,From Lewis Hamilton,How much is Vettel ahead?
43,To Lewis Hamilton,You’ve got 15 laps remaiing. You did 28 on the last tyre.
,,
44,From Esteban Ocon,[Unclear] to catch the other car as well?
44,To Esteban Ocon,"That’s it, that’s all there is, Hulkenberg."
,,
45,To Pascal Wehrlein,Alonso behind is lapping 36.0.
,,
45,To Marcus Ericsson,"OK Marcus maximum push, keep attacking him."
,,
46,To Daniel Ricciardo,"Vettel, Bottas still doing 34.5s at the front. Hamilton stopped later than us on soft tyres and he’s catching them quickly."
,,
46,To Sebastian Vettel,"12 to go, Hamilton is closing on Bottas with used option [soft]. Hamilton is 15 seconds behind you. Bottas in 10.8 seconds behind."
,,
47,To Lewis Hamilton,Gap to Vettel now down to 14.7
,,
47,To Lewis Hamilton,"Vettel 34.1. You’ve got the pace to win this Lewis, come on mate."
,,
47,To Valtteri Bottas,"And don’t hold Lewis up. He is two seconds a lap quicker, pushing for the win"
,,
47,To Valtteri Bottas,And please let Lewis go.
,,
48,To Lewis Hamilton,So Vettel 13 seconds ahead. Ten laps remaining.
,,
48,To Sebastian Vettel,"Ten laps to go, Hamilton is now behind you, 13 seconds."
,,
48,To Lewis Hamilton,"Vettel’s coming up to backmarker traffic Lewis, it’s still all to play for, come on mate."
,,
49,To Valtteri Bottas,So just remember try and stay as close as you can to Lewis.
,,
49,From Valtteri Bottas,"The rear end is just all over the place, I don’t know what is the problem."
49,To Sebastian Vettel,"Hamilton lap time 3.5, one seconds faster, 12 seconds behind."
,,
49,To Kimi Raikkonen,"Just 1.2 seconds quicker than lap, Kimi, it’s all there."
,,
49,From Kimi Raikkonen,I don’t know what you said.
49,To Kimi Raikkonen,So 1.1 seconds quicker than him last lap.
,,
50,To Lewis Hamilton,Am I on the right trajectory?
,,
50,From Lewis Hamilton,"Affirm Lewis, on the right trajectory, it’s all going to happen at the end. Just keep it up, mate."
50,To Daniel Ricciardo,"Eight laps to go, Raikkonen ahead still doing around 34.0s. Massa behind mid-35s. Vettel at the front still in 34.5s on his softs."
,,
50,To Sebastian Vettel,"Can use DRS. Kvyat next car in front, blue flag. Seven seconds, a bit of fresh air."
,,
51,To Sebastian Vettel,And push the ‘ovi’ button.
,,
51,From Lewis Hamilton,Has Vettel passed these cars?
51,To Lewis Hamilton,"He’s passed two, he’s got another three ahead. It’s Palmer and Ericsson coming up. Vettel 34.2."
,,
51,From Lewis Hamilton,Gap?
51,To Lewis Hamilton,Gap now under nine seconds. Four cars…
,,
51,From Lewis Hamilton,How many laps?
51,To Lewis Hamilton,You’ve got seven laps remaining.
,,
52,From Lewis Hamilton,Tyres are starting to drop.
52,To Sebastian Vettel,"Very good lap, Sebastian. Holding there."
,,
52,To Sebastian Vettel,Hamilton saying his tyres are starting to drop. His lap times 33.3. It’s looking good.
,,
52,From Marcus Ericsson,Gearbox broken.
52,To Marcus Ericsson,What’s going on?
,,
52,From Marcus Ericsson,Gearbox broken.
52,From Marcus Ericsson,"We cannot restart it, no?"
52,To Marcus Ericsson,Stand by. Stop the car. Switch off procedure. Can you hear me?
,,
52,From Marcus Ericsson,Yeah.
52,To Marcus Ericsson,OK.
,,
52,From Marcus Ericsson,OK I abort.
52,To Marcus Ericsson,Yeah jump out.
,,
53,To Sebastian Vettel,Safety Car window is closed.
,,
53,To Sebastian Vettel,"Hamilton is catching Palmer now, blue flags to Palmer. We are three cars infront. Kvyat blue flag soon. Double yellow turn four. Watch out. Marshal on the left. Be careful."
,,
53,To Valtteri Bottas,OK so we’ve got a chance to save the engine if you want. So Raikkonen is seven-and-a-half seconds behind on younger soft tyres. You can go strat nine if you want and manage the gap. Kimi at the moment is a second a lap quicker. Yellow turn four.
,,
53,From Lewis Hamilton,Are we still on target to close or not?
53,To Lewis Hamilton,"It’s very close at the moment, Lewis, we just want to see. Vettel’s got three cars with traffic. Just want to see if he’ll lose time there."
,,
54,To Pascal Wehrlein,So Vettel overtook Alonso. You will get blue flags now. Vettel race leader.
,,
54,To Pascal Wehrlein,Good job on the blue flags. Now push to the end. Three laps to go.
,,
54,From Lewis Hamilton,How many laps?
54,To Lewis Hamilton,"Four laps remaining, four laps."
,,
54,To Lewis Hamilton,"OK Lewis Vetel cleared that traffic quite efficiently so let’s go back to strat six. We’ll just see if there’s opportunities at the end, just keep the pace up."
,,
54,From Lewis Hamilton,"It’s too big a gap, right?"
54,To Lewis Hamilton,"Yeah feels like it, Lewis. Let’s just see if anything happens. Strat six and go HPP eight to one."
,,
55,From Fernando Alonso,"Engine, engine problem. Engine problem. Box now. Engine. Problem."
55,To Fernando Alonso,OK Fernando box this lap to retire the car. Try to cool the car. Raikkonen is plus three.
,,
56,To Sebastian Vettel,"Engine nine, Sebastian. Hamilton 6.9 behind."
,,
57,To Romain Grosjean,"One lap to go, one lap."
,,
57,From Lewis Hamilton,Gap behind?
57,To Lewis Hamilton,You’ve got five seconds to Wehrlein who’s traffic. Plenty of space behind for Valtteri.
,,
VL,To Valtteri Bottas,"Great job. Sorry about that, didn’t have the car underneath us to be able to make the most of it. Especially with the pressures in that first stint. HPP eight to thirteen please."
,,
VL,To Daniel Ricciardo,"OK so finishing order was Vettel, he won by six seconds over Hamilton, Bottas was third, 14 seconds behind Hamilton. Raikkonen finished just behind Bottas, two seconds behind him, and he was 16 seconds ahead of us, we were in P5. Behind you you had Massa, Perez, Grosjean was eight, Hulkenberg ninth and Ocon tenth."
,,
VL,From Daniel Ricciardo,"OK, understood."
VL,To Daniel Ricciardo,Good effort Daniel. We just seemed to lose out a huge amount in the middle stint there. First stint was looking alright and it got away from us in the second stint so need to understand that. Well done.
,,
VL,To Sebastian Vettel,P1 Sebastian. What a race. You were the quickest.
,,
VL,From Sebastian Vettel,Woohoo! Yes guys! Yes yes yes. That’s what I’m talking about.
VL,To Sebastian Vettel,"Mode slow and cool the brakes, hot in brakes."
,,
